1,1,5,30
2,2,8,35
3,3,6,28
4,4,10,40
5,5,4,32
6,6,7,38
7,7,9,36
8,8,12,42
9,9,3,25
10,10,11,45
11,11,6,33
12,12,14,48
13,13,5,29
14,14,9,37
15,15,7,34
16,16,13,50
17,17,4,31
18,18,10,39
19,19,8,36
20,20,15,52
21,21,6,30
22,22,12,44
23,23,9,33
24,24,16,55
25,25,5,28
26,26,11,41
27,27,7,35
28,28,14,49
29,29,6,32
30,30,13,47
31,31,8,34
32,32,15,53
33,33,4,27
34,34,12,43
35,35,9,36
36,36,17,56
37,37,5,29
38,38,10,38
39,39,7,33
40,40,18,58
41,41,6,31
42,42,14,46
43,43,8,35
44,44,19,60
45,45,5,30
46,46,13,45
47,47,9,34
48,48,17,57
49,49,6,28
50,50,12,42
51,51,10,37
52,52,15,54
53,53,4,26
54,54,11,40
55,55,8,33
56,56,16,55
57,57,7,32
58,58,14,48
59,59,9,36
60,60,18,59
61,61,5,27
62,62,13,44
63,63,10,35
64,64,17,56
65,65,6,29
66,66,12,41
67,67,9,34
68,68,19,60
69,69,7,30
70,70,15,50
71,71,8,33
72,72,18,58
73,73,6,28
74,74,14,47
75,75,10,36
76,76,20,60
77,77,5,26
78,78,13,43
79,79,9,32
80,80,17,55
81,81,7,31
82,82,12,40
83,83,10,35
84,84,19,59
85,85,6,27
86,86,15,49
87,87,8,34
88,88,18,57
89,89,5,29
90,90,14,46
91,91,11,38
92,92,20,60
93,93,7,30
94,94,13,45
95,95,9,33
96,96,17,56
97,97,6,28
98,98,12,42
99,99,10,37
100,100,19,60
101,101,5,26
102,102,14,48
103,103,8,34
104,104,18,58
105,105,6,29
106,106,15,50
107,107,9,33
108,108,20,60
109,109,7,31
110,110,13,44
111,111,10,36
112,112,17,55
113,113,6,27
114,114,12,41
115,115,9,34
116,116,19,59
117,117,5,28
118,118,14,47
119,119,11,38
120,120,18,57
121,121,7,30
122,122,15,49
123,123,8,33
124,124,20,60
125,125,6,29
126,126,13,45
127,127,10,35
128,128,17,56
129,129,5,27
130,130,12,42
131,131,9,34
132,132,19,60
133,133,7,30
134,134,14,48
135,135,11,38
136,136,18,58
137,137,6,28
138,138,15,50
139,139,10,36
140,140,20,60
141,141,5,26
142,142,13,43
143,143,8,32
144,144,17,55
145,145,7,31
146,146,12,40
147,147,9,33
148,148,19,59
149,149,6,27
150,150,14,47
151,151,10,38
152,152,18,57
153,153,7,30
154,154,15,49
155,155,8,33
156,156,20,60
157,157,6,29
158,158,13,45
159,159,9,34
160,160,17,56
161,161,5,27
162,162,12,41
163,163,10,36
164,164,19,59
165,165,7,30
166,166,14,48
167,167,11,38
168,168,18,58
169,169,6,28
170,170,15,50
171,171,9,33
172,172,20,60
173,173,5,26
174,174,13,43
175,175,8,32
176,176,17,55
177,177,7,31
178,178,12,40
179,179,10,35
180,180,19,59
181,181,6,27
182,182,14,47
183,183,11,38
184,184,18,57
185,185,7,30
186,186,15,49
187,187,8,33
188,188,20,60
189,189,6,29
190,190,13,45
191,191,10,36
192,192,17,56
193,193,5,27
194,194,12,41
195,195,9,34
196,196,19,59
197,197,7,30
198,198,14,48
199,199,11,38
200,200,18,58
201,201,6,28
202,202,15,50
203,203,10,35
204,204,20,60
205,205,5,26
206,206,13,43
207,207,8,32
208,208,17,55
209,209,7,31
210,210,12,40
211,211,9,33
212,212,19,59
213,213,6,27
214,214,14,47
215,215,11,38
216,216,18,57
217,217,7,30
218,218,15,49
219,219,8,33
220,220,20,60
221,221,6,29
222,222,13,45
223,223,10,36
224,224,17,56
225,225,5,27
226,226,12,41
227,227,9,34
228,228,19,59
229,229,7,30
230,230,14,48
231,231,11,38
232,232,18,58
233,233,6,28
234,234,15,50
235,235,10,35
236,236,20,60
237,237,5,26
238,238,13,43
239,239,8,32
240,240,17,55
241,241,7,31
242,242,12,40
243,243,9,33
244,244,19,59
245,245,6,27
246,246,14,47
247,247,11,38
248,248,18,57
249,249,7,30
250,250,15,49
