1,1,Performance Bonus,1200
2,2,Annual Bonus,1500
3,3,Spot Bonus,600
4,4,Retention Bonus,2000
5,5,Performance Bonus,1300
6,6,Annual Bonus,1600
7,7,Spot Bonus,700
8,8,Retention Bonus,2100
9,9,Performance Bonus,1400
10,10,Annual Bonus,1700
11,11,Spot Bonus,800
12,12,Retention Bonus,2200
13,13,Performance Bonus,1250
14,14,Annual Bonus,1550
15,15,Spot Bonus,650
16,16,Retention Bonus,2300
17,17,Performance Bonus,1350
18,18,Annual Bonus,1650
19,19,Spot Bonus,750
20,20,Retention Bonus,2400
21,21,Performance Bonus,1450
22,22,Annual Bonus,1750
23,23,Spot Bonus,850
24,24,Retention Bonus,2500
25,25,Performance Bonus,1500
26,26,Annual Bonus,1800
27,27,Spot Bonus,900
28,28,Retention Bonus,2600
29,29,Performance Bonus,1550
30,30,Annual Bonus,1850
31,31,Spot Bonus,950
32,32,Retention Bonus,2700
33,33,Performance Bonus,1600
34,34,Annual Bonus,1900
35,35,Spot Bonus,1000
36,36,Retention Bonus,2800
37,37,Performance Bonus,1650
38,38,Annual Bonus,1950
39,39,Spot Bonus,1050
40,40,Retention Bonus,2900
41,41,Performance Bonus,1700
42,42,Annual Bonus,2000
43,43,Spot Bonus,1100
44,44,Retention Bonus,3000
45,45,Performance Bonus,1750
46,46,Annual Bonus,2050
47,47,Spot Bonus,1150
48,48,Retention Bonus,2950
49,49,Performance Bonus,1800
50,50,Annual Bonus,2100
51,51,Spot Bonus,1200
52,52,Retention Bonus,2850
53,53,Performance Bonus,1850
54,54,Annual Bonus,2150
55,55,Spot Bonus,1250
56,56,Retention Bonus,2750
57,57,Performance Bonus,1900
58,58,Annual Bonus,2200
59,59,Spot Bonus,1300
60,60,Retention Bonus,2650
61,61,Performance Bonus,1950
62,62,Annual Bonus,2250
63,63,Spot Bonus,1350
64,64,Retention Bonus,2550
65,65,Performance Bonus,2000
66,66,Annual Bonus,2300
67,67,Spot Bonus,1400
68,68,Retention Bonus,2450
69,69,Performance Bonus,2050
70,70,Annual Bonus,2350
71,71,Spot Bonus,1450
72,72,Retention Bonus,2350
73,73,Performance Bonus,2100
74,74,Annual Bonus,2400
75,75,Spot Bonus,1500
76,76,Retention Bonus,2250
77,77,Performance Bonus,2150
78,78,Annual Bonus,2450
79,79,Spot Bonus,1550
80,80,Retention Bonus,2150
81,81,Performance Bonus,2200
82,82,Annual Bonus,2500
83,83,Spot Bonus,1600
84,84,Retention Bonus,2050
85,85,Performance Bonus,2250
86,86,Annual Bonus,2550
87,87,Spot Bonus,1650
88,88,Retention Bonus,1950
89,89,Performance Bonus,2300
90,90,Annual Bonus,2600
91,91,Spot Bonus,1700
92,92,Retention Bonus,1850
93,93,Performance Bonus,2350
94,94,Annual Bonus,2650
95,95,Spot Bonus,1750
96,96,Retention Bonus,1750
97,97,Performance Bonus,2400
98,98,Annual Bonus,2700
99,99,Spot Bonus,1800
100,100,Retention Bonus,1650
101,101,Performance Bonus,2450
102,102,Annual Bonus,2750
103,103,Spot Bonus,1850
104,104,Retention Bonus,1550
105,105,Performance Bonus,2500
106,106,Annual Bonus,2800
107,107,Spot Bonus,1900
108,108,Retention Bonus,1450
109,109,Performance Bonus,2550
110,110,Annual Bonus,2850
111,111,Spot Bonus,1950
112,112,Retention Bonus,1350
113,113,Performance Bonus,2600
114,114,Annual Bonus,2900
115,115,Spot Bonus,2000
116,116,Retention Bonus,1250
117,117,Performance Bonus,2650
118,118,Annual Bonus,2950
119,119,Spot Bonus,2050
120,120,Retention Bonus,1150
121,121,Performance Bonus,2700
122,122,Annual Bonus,3000
123,123,Spot Bonus,2100
124,124,Retention Bonus,1050
125,125,Performance Bonus,2750
126,126,Annual Bonus,2900
