1,1,Health Insurance,150
2,2,Retirement Contribution,220
3,3,Social Security,180
4,4,Income Tax,300
5,5,Health Insurance,140
6,6,Retirement Contribution,250
7,7,Social Security,170
8,8,Income Tax,320
9,9,Health Insurance,160
10,10,Retirement Contribution,230
11,11,Social Security,190
12,12,Income Tax,310
13,13,Health Insurance,155
14,14,Retirement Contribution,240
15,15,Social Security,175
16,16,Income Tax,330
17,17,Health Insurance,165
18,18,Retirement Contribution,260
19,19,Social Security,185
20,20,Income Tax,340
21,21,Health Insurance,145
22,22,Retirement Contribution,255
23,23,Social Security,195
24,24,Income Tax,350
25,25,Health Insurance,170
26,26,Retirement Contribution,245
27,27,Social Security,165
28,28,Income Tax,360
29,29,Health Insurance,180
30,30,Retirement Contribution,270
31,31,Social Security,200
32,32,Income Tax,355
33,33,Health Insurance,150
34,34,Retirement Contribution,260
35,35,Social Security,175
36,36,Income Tax,345
37,37,Health Insurance,165
38,38,Retirement Contribution,280
39,39,Social Security,190
40,40,Income Tax,370
41,41,Health Insurance,155
42,42,Retirement Contribution,265
43,43,Social Security,185
44,44,Income Tax,360
45,45,Health Insurance,175
46,46,Retirement Contribution,290
47,47,Social Security,210
48,48,Income Tax,380
49,49,Health Insurance,160
50,50,Retirement Contribution,275
51,51,Social Security,195
52,52,Income Tax,365
53,53,Health Insurance,170
54,54,Retirement Contribution,285
55,55,Social Security,205
56,56,Income Tax,390
57,57,Health Insurance,180
58,58,Retirement Contribution,295
59,59,Social Security,215
60,60,Income Tax,395
61,61,Health Insurance,165
62,62,Retirement Contribution,270
63,63,Social Security,185
64,64,Income Tax,350
65,65,Health Insurance,175
66,66,Retirement Contribution,300
67,67,Social Security,220
68,68,Income Tax,400
69,69,Health Insurance,160
70,70,Retirement Contribution,280
71,71,Social Security,200
72,72,Income Tax,360
73,73,Health Insurance,170
74,74,Retirement Contribution,310
75,75,Social Security,230
76,76,Income Tax,420
77,77,Health Insurance,180
78,78,Retirement Contribution,290
79,79,Social Security,210
80,80,Income Tax,410
81,81,Health Insurance,155
82,82,Retirement Contribution,265
83,83,Social Security,195
84,84,Income Tax,370
85,85,Health Insurance,165
86,86,Retirement Contribution,305
87,87,Social Security,225
88,88,Income Tax,430
89,89,Health Insurance,175
90,90,Retirement Contribution,315
91,91,Social Security,235
92,92,Income Tax,440
93,93,Health Insurance,185
94,94,Retirement Contribution,325
95,95,Social Security,245
96,96,Income Tax,450
97,97,Health Insurance,195
98,98,Retirement Contribution,335
99,99,Social Security,255
100,100,Income Tax,460
101,101,Health Insurance,165
102,102,Retirement Contribution,275
103,103,Social Security,205
104,104,Income Tax,355
105,105,Health Insurance,175
106,106,Retirement Contribution,285
107,107,Social Security,215
108,108,Income Tax,365
109,109,Health Insurance,185
110,110,Retirement Contribution,295
111,111,Social Security,225
112,112,Income Tax,375
113,113,Health Insurance,195
114,114,Retirement Contribution,305
115,115,Social Security,235
116,116,Income Tax,385
117,117,Health Insurance,205
118,118,Retirement Contribution,315
119,119,Social Security,245
120,120,Income Tax,395
121,121,Health Insurance,215
122,122,Retirement Contribution,325
123,123,Social Security,255
124,124,Income Tax,405
125,125,Health Insurance,225
126,126,Retirement Contribution,335
127,127,Social Security,265
128,128,Income Tax,415
129,129,Health Insurance,235
130,130,Retirement Contribution,345
131,131,Social Security,275
132,132,Income Tax,425
133,133,Health Insurance,245
134,134,Retirement Contribution,355
135,135,Social Security,285
136,136,Income Tax,435
137,137,Health Insurance,255
138,138,Retirement Contribution,365
139,139,Social Security,295
140,140,Income Tax,445
141,141,Health Insurance,265
142,142,Retirement Contribution,375
143,143,Social Security,305
144,144,Income Tax,455
145,145,Health Insurance,275
146,146,Retirement Contribution,385
147,147,Social Security,315
148,148,Income Tax,465
149,149,Health Insurance,285
150,150,Retirement Contribution,395
151,151,Social Security,325
152,152,Income Tax,475
153,153,Health Insurance,295
154,154,Retirement Contribution,405
155,155,Social Security,335
156,156,Income Tax,485
157,157,Health Insurance,305
158,158,Retirement Contribution,415
159,159,Social Security,345
160,160,Income Tax,495
161,161,Health Insurance,315
162,162,Retirement Contribution,425
163,163,Social Security,355
164,164,Income Tax,500
165,165,Health Insurance,325
166,166,Retirement Contribution,435
167,167,Social Security,365
168,168,Income Tax,480
169,169,Health Insurance,335
170,170,Retirement Contribution,445
171,171,Social Security,375
172,172,Income Tax,490
173,173,Health Insurance,345
174,174,Retirement Contribution,455
175,175,Social Security,385
176,176,Income Tax,470
177,177,Health Insurance,355
178,178,Retirement Contribution,465
179,179,Social Security,395
180,180,Income Tax,460
181,181,Health Insurance,365
182,182,Retirement Contribution,475
183,183,Social Security,405
184,184,Income Tax,450
185,185,Health Insurance,375
186,186,Retirement Contribution,485
187,187,Social Security,415
188,188,Income Tax,440
189,189,Health Insurance,385
190,190,Retirement Contribution,495
191,191,Social Security,425
192,192,Income Tax,430
193,193,Health Insurance,395
194,194,Retirement Contribution,500
195,195,Social Security,435
196,196,Income Tax,420
197,197,Health Insurance,405
198,198,Retirement Contribution,490
199,199,Social Security,445
200,200,Income Tax,410
201,201,Health Insurance,415
202,202,Retirement Contribution,480
203,203,Social Security,455
204,204,Income Tax,400
205,205,Health Insurance,425
206,206,Retirement Contribution,470
207,207,Social Security,465
208,208,Income Tax,390
209,209,Health Insurance,435
210,210,Retirement Contribution,460
211,211,Social Security,475
212,212,Income Tax,380
213,213,Health Insurance,445
214,214,Retirement Contribution,450
215,215,Social Security,485
216,216,Income Tax,370
217,217,Health Insurance,455
218,218,Retirement Contribution,440
219,219,Social Security,495
220,220,Income Tax,360
221,221,Health Insurance,465
222,222,Retirement Contribution,430
